name,type,address
묵호3호소공원,culture_park,강원도 동해시 묵호진동 2-302
어달2호공원,culture_park,강원도 동해시 묵호진동 85-175 동해참빛교회
발한공원,culture_park,강원도 동해시 발한동 241-9 동해시립발한도서관
천곡14호공원,culture_park,강원도 동해시 천곡동 996
교동공원,culture_park,강원도 삼척시 교동 750-1
교동1공원,culture_park,강원도 삼척시 교동 756
교동3공원,culture_park,강원도 삼척시 교동 765-2
교동소공원,culture_park,강원도 삼척시 교동 산 142-3
교가3공원,culture_park,강원도 삼척시 근덕면 교가리 1266-7
남양공원,culture_park,강원도 삼척시 남양동 109
봉황공원,culture_park,강원도 삼척시 남양동 339-2
당저1공원,culture_park,강원도 삼척시 당저동 20
달전공원,culture_park,강원도 삼척시 도계읍 도계리 225-2 느티나무냉면
흥전공원,culture_park,강원도 삼척시 도계읍 흥전리 81-5 주공아파트
사직공원,culture_park,강원도 삼척시 사직동 268
사직1공원,culture_park,강원도 삼척시 사직동 329-1
죽서루공원,culture_park,강원도 삼척시 성내동 8-2 죽서루
원당1공원,culture_park,강원도 삼척시 원당동 170 주공아파트
임원2공원,culture_park,강원도 삼척시 원덕읍 임원리 790-3
수로부인헌화공원,culture_park,강원도 삼척시 원덕읍 임원리 89
호산2공원,culture_park,강원도 삼척시 원덕읍 호산리 213-15
호산공원,culture_park,강원도 삼척시 원덕읍 호산리 535
정라공원,culture_park,강원도 삼척시 정상동 450
교동2공원,culture_park,강원도 삼척시 정상동 457-2
이사부공원,culture_park,강원도 삼척시 정상동 82-2
정상공원,culture_park,강원도 삼척시 정상동 산38-1
이사부사자공원,culture_park,강원도 삼척시 증산동 1 이사부사자공원
교동소공원,culture_park,강원도 속초시 교동 627-255
어린이공원23,culture_park,강원도 속초시 교동 798-26
어린이공원24,culture_park,강원도 속초시 교동 800-34
어린이공원22,culture_park,강원도 속초시 교동 902
어린이공원5,culture_park,강원도 속초시 교동 907-6
어린이공원3,culture_park,강원도 속초시 교동 926-6
어린이공원4,culture_park,강원도 속초시 교동 944-1
어린이공원7,culture_park,강원도 속초시 교동 961-2
어린이공원8,culture_park,강원도 속초시 교동 972
만리공원,culture_park,강원도 속초시 교동 산238-2
금호2소공원,culture_park,강원도 속초시 금호동 488-124
영랑공원,culture_park,강원도 속초시 금호동 산 278
청초천수변공원,culture_park,강원도 속초시 노학동 1187-1
어린이공원6,culture_park,강원도 속초시 노학동 152-1
어린이공원9,culture_park,강원도 속초시 노학동 628-14
어린이공원2,culture_park,강원도 속초시 노학동 산 165-30
도화만리공원,culture_park,강원도 속초시 노학동 산 187-3
해맞이공원,culture_park,강원도 속초시 대포동 178-9
어린이공원19,culture_park,강원도 속초시 대포동 238-24
수변공원,culture_park,강원도 속초시 대포동 937
역사공원,culture_park,강원도 속초시 대포동 993 공중화장실
어린이공원20,culture_park,강원도 속초시 도문동 1628-16
문화공원,culture_park,강원도 속초시 도문동 996
탑공원,culture_park,강원도 속초시 동명동 373
중앙동재개발소공원1,culture_park,강원도 속초시 동명동 450-295
중앙동재개발소공원2,culture_park,강원도 속초시 동명동 464-10 국제특수타워빌
어린이공원1,culture_park,강원도 속초시 동명동 512-50
영금공원,culture_park,강원도 속초시 동명동 8
중앙공원,culture_park,강원도 속초시 동명동 산60-1
영랑소공원,culture_park,강원도 속초시 영랑동 323-5
어린이공원17,culture_park,강원도 속초시 조양동 1209
어린이공원18,culture_park,강원도 속초시 조양동 1310-5
어린이공원12,culture_park,강원도 속초시 조양동 1499 부영아파트
어린이공원13,culture_park,강원도 속초시 조양동 1501
어린이공원14,culture_park,강원도 속초시 조양동 1511-1
조양공원,culture_park,강원도 속초시 조양동 1529
어린이공원15,culture_park,강원도 속초시 조양동 1536
어린이공원10,culture_park,강원도 속초시 조양동 1564
어린이공원16,culture_park,강원도 속초시 조양동 1571 속초조양동 E.S 아뜨리움
어린이공원11,culture_park,강원도 속초시 조양동 578-1
논산공원,culture_park,강원도 속초시 조양동 산 278
어린이공원25,culture_park,강원도 속초시 중앙동 493-123
어린이공원21,culture_park,강원도 속초시 청호동 1187
청호2소공원,culture_park,강원도 속초시 청호동 1335-14
용초공원,culture_park,강원도 속초시 청호동 1340
상리공원3,culture_park,강원도 양구군 양구읍 상리 275-5
상리공원,culture_park,강원도 양구군 양구읍 상리 531
정림공원1,culture_park,강원도 양구군 양구읍 상리 587-3
정림공원2,culture_park,강원도 양구군 양구읍 상리 604-6
묘지공원,culture_park,강원도 양구군 양구읍 죽곡리 산 3-1
하리수변공원,culture_park,강원도 양구군 양구읍 하리 643-1
물치공원,culture_park,강원도 양양군 강현면 강선리 7-3
물치3공원,culture_park,강원도 양양군 강현면 강선리 991
물치4공원,culture_park,강원도 양양군 강현면 물치리 227
구교공원,culture_park,강원도 양양군 양양읍 구교리 200
현산공원,culture_park,강원도 양양군 양양읍 군행리 25-1
청곡공원,culture_park,강원도 양양군 양양읍 청곡리 90-4
